20 159
0 12 2
0 8 20
0 15 16
0 19 14
0 9 19
0 1 14
0 7 4
0 2 12
0 10 15
0 18 17
0 6 8
0 4 11
0 16 2
1 15 3
1 8 3
1 2 9
1 3 11
1 13 16
1 7 5
1 19 6
1 16 4
1 17 19
1 14 20
1 6 15
1 4 10
2 6 15
2 18 17
2 13 8
2 4 15
2 10 6
2 11 17
2 16 7
2 5 10
2 19 15
3 16 2
3 11 3
3 0 3
3 18 3
3 9 12
3 15 15
3 13 1
3 8 18
3 6 6
3 4 20
3 2 15
3 7 3
4 17 7
4 9 15
4 12 17
4 16 15
4 19 12
4 6 7
4 10 8
4 7 11
4 11 4
4 8 11
4 14 19
5 1 20
5 3 16
5 18 8
5 0 10
5 6 11
5 10 4
5 4 19
5 17 9
5 19 7
5 15 4
5 14 16
5 7 3
6 19 15
6 8 7
6 11 5
6 16 19
6 15 11
6 14 14
6 17 7
7 6 5
7 12 2
7 10 8
7 13 17
7 18 14
7 11 12
7 19 19
7 8 11
8 5 5
8 11 6
8 17 2
8 15 18
8 12 5
8 9 12
9 11 17
9 18 3
9 5 11
9 14 8
9 6 10
9 7 19
9 13 14
9 2 17
9 19 20
10 1 13
10 9 3
10 8 3
10 19 9
10 15 2
10 11 8
10 3 3
10 17 15
11 18 14
11 17 13
11 13 11
11 19 11
11 16 8
11 5 7
12 19 17
12 13 20
12 9 18
12 5 14
12 17 8
12 1 9
13 14 16
13 17 20
13 18 1
13 15 5
13 19 7
13 5 7
13 4 17
13 16 20
13 8 6
14 8 8
14 7 8
14 2 13
14 12 9
14 0 8
14 15 13
14 3 6
14 16 3
15 18 5
15 2 9
15 12 12
15 4 20
15 19 19
15 9 12
15 7 6
16 18 1
16 8 7
16 10 2
16 12 3
17 7 7
17 16 20
17 19 14
17 9 14
17 2 5
18 4 11
18 12 11
18 17 20
18 8 5
18 14 6
19 14 20
19 8 17
